id,Year,REG,State Name,HLSA Num,Line Num,Service Category,SSBG Expenditures,Total TANF,Total SSBG Expenditures,"Other Fed, State, and Local Funds",Children,Adults 59 and Younger,Adults 60 and Older,Adults Unknown,Total Adults,Total Recipients
99,2016,4,Alabama,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,2,2,Case Management,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,7,5,Day Care - Adults,1348784,0,1348784,420932,0,0,0,257,257,257
99,2016,4,Alabama,3,6,Day Care - Children,500000,0,500000,118776118,27809,0,0,0,0,27809
99,2016,4,Alabama,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,7,10,Foster Care Services - Adults,41729,0,41729,0,0,0,0,26,26,26
99,2016,4,Alabama,1,11,Foster Care Services - Children,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,8,13,Home-Based Services,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,7,14,Home-Delivered Meals,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,5,16,Independent/Transitional Living Services,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,2,17,Information and Referral,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,8,18,Legal Services,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,8,20,Prevention and Intervention,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,7,21,Protective Services - Adults,9427347,0,9427347,4896800,0,0,0,7190,7190,7190
99,2016,4,Alabama,1,22,Protective Services - Children,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,4,24,Residential Treatment,0,0,0,0,0,0,0,0,0,0
99,2016,4,Alabama,6,25,Special Services - Disabled,0,0,0,0,0,0,0,0,0,0
